Link,name,brand,image,price
https://www.macys.com/shop/product/citizen-eco-drive-mens-analog-digital-promaster-skyhawk-a-t-titanium-bracelet-watch-45mm?ID=9573478&CategoryID=239616,Eco-Drive Men's Analog-Digital Promaster Skyhawk A-T Titanium Bracelet Watch 45mm,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/13806761_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$895.00 
https://www.macys.com/shop/product/bulova-mens-automatic-wilton-gray-leather-strap-watch-43mm?ID=9942395&CategoryID=239616,Men's Automatic Wilton Gray Leather Strap Watch 43mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/14335391_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$895.00 
https://www.macys.com/shop/product/citizen-drive-from-citizen-eco-drive-mens-black-stainless-steel-bracelet-watch-42mm?ID=4873362&CategoryID=239616,Drive from Citizen Eco-Drive Men's Black Stainless Steel Bracelet Watch 42mm,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/8753585_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$295.00 
https://www.macys.com/shop/product/michael-kors-access-mkgo-black-silicone-strap-touchscreen-smart-watch-43mm-powered-by-wear-os-by-google?ID=9654049&CategoryID=239616,"Access MKGO Black Silicone Strap Touchscreen Smart Watch 43mm, Powered by Wear OS by Google™",Michael Kors,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/14532924_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$295.00 
https://www.macys.com/shop/product/bulova-mens-futuro-diamond-accent-black-stainless-steel-bracelet-watch-42mm?ID=5499570&CategoryID=239616,Men's Futuro Diamond-Accent Black Stainless Steel Bracelet Watch 42mm,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/7/optimized/9156857_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$425.00 
https://www.macys.com/shop/product/bulova-mens-diamond-accent-two-tone-stainless-steel-bracelet-watch-40mm-98d130?ID=2893524&CategoryID=239616,Men's Diamond Accent Two-Tone Stainless Steel Bracelet Watch 40mm 98D130,Bulova,"https://slimages.macysassets.com/is/image/MCY/products/1/optimized/3717021_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$425.00 
https://www.macys.com/shop/product/citizen-eco-drive-mens-calendrier-brown-leather-strap-watch-44mm?ID=6435594&CategoryID=239616,Eco-Drive Men's Calendrier Brown Leather Strap Watch 44mm,Citizen,"https://slimages.macysassets.com/is/image/MCY/products/6/optimized/9711566_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$425.00 
https://www.macys.com/shop/product/seiko-mens-chronograph-essentials-black-leather-strap-watch-45.2mm?ID=9977577&CategoryID=239616,Men's Chronograph Essentials Black Leather Strap Watch 45.2mm,Seiko,"https://slimages.macysassets.com/is/image/MCY/products/7/optimized/14398457_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$275.00 
https://www.macys.com/shop/product/seiko-mens-solar-essentials-gold-tone-stainless-steel-bracelet-watch-40mm?ID=5613105&CategoryID=239616,Men's Solar Essentials Gold-Tone Stainless Steel Bracelet Watch 40mm,Seiko,"https://slimages.macysassets.com/is/image/MCY/products/9/optimized/9278059_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$275.00 
https://www.macys.com/shop/product/fitbit-kids-ace-2-activity-tracker-night-sky-silicone-strap-smart-watch-20.5mm?ID=8484040&CategoryID=239616,Kid's Ace 2 Activity Tracker Night Sky Silicone Strap Smart Watch 20.5mm,Fitbit,"https://slimages.macysassets.com/is/image/MCY/products/5/optimized/11971855_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$69.95 
https://www.macys.com/shop/product/gucci-womens-swiss-guccissima-rose-gold-tone-pvd-bangle-bracelet-watch-36mm-ya134305?ID=1757743&CategoryID=239616,Women's Swiss Guccissima Rose Gold-Tone PVD Bangle Bracelet Watch 36mm YA134305,Gucci,"https://slimages.macysassets.com/is/image/MCY/products/4/optimized/3660844_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$920.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-blue-silicone-strap-watch-46mm?ID=6867320&CategoryID=239616,Men's Blue Silicone Strap Watch 46mm,Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/3/optimized/10130863_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
https://www.macys.com/shop/product/tommy-hilfiger-mens-casual-sport-black-leather-strap-watch-42mm-created-for-macys?ID=2482519&CategoryID=239616,"Men's Casual Sport Black Leather Strap Watch 42mm , Created for Macy's",Tommy Hilfiger,"https://slimages.macysassets.com/is/image/MCY/products/7/optimized/3225927_fpx.tif?op_sharpen=1&wid=500&hei=613&fit=fit,1&$filtersm$",$65.00 
